spend_date,channel,campaign_name,spend_eur,impressions,clicks
2025-01-19,email,Email 2025-01,33.48,3642,100
2025-01-19,affiliate,Affiliate 2025-01,75.71,19180,352
2025-01-20,paid_search,Paid Search 2025-01,206.58,28772,564
2025-01-20,paid_social,Paid Social 2025-01,167.29,22049,522
2025-01-20,email,Email 2025-01,41.26,10809,364
2025-01-20,affiliate,Affiliate 2025-01,87.88,23353,848
2025-01-21,paid_search,Paid Search 2025-01,299.09,78206,992
2025-01-21,paid_social,Paid Social 2025-01,187.02,36417,1599
2025-01-21,email,Email 2025-01,39.94,10928,235
2025-01-21,affiliate,Affiliate 2025-01,61.17,9525,239
2025-01-22,paid_search,Paid Search 2025-01,153.15,42454,619
2025-01-22,paid_social,Paid Social 2025-01,171.0,28635,1124
2025-01-22,email,Email 2025-01,46.12,4607,136
2025-01-22,affiliate,Affiliate 2025-01,75.98,9040,337
2025-01-23,paid_search,Paid Search 2025-01,221.09,28493,1031
2025-01-23,paid_social,Paid Social 2025-01,173.89,31608,1258
2025-01-23,email,Email 2025-01,34.72,6320,79
2025-01-23,affiliate,Affiliate 2025-01,103.32,22522,380
2025-01-24,paid_search,Paid Search 2025-01,218.11,52603,2040
2025-01-24,paid_social,Paid Social 2025-01,157.36,17455,678
2025-01-24,email,Email 2025-01,24.63,4380,142
2025-01-24,affiliate,Affiliate 2025-01,74.1,6995,147
2025-01-25,paid_search,Paid Search 2025-01,225.15,51776,1971
2025-01-25,paid_social,Paid Social 2025-01,171.47,21834,535
2025-01-25,email,Email 2025-01,30.96,7018,235
2025-01-25,affiliate,Affiliate 2025-01,56.15,14511,549
2025-01-26,paid_search,Paid Search 2025-01,139.61,20461,663
2025-01-26,paid_social,Paid Social 2025-01,108.42,25050,1054
2025-01-26,email,Email 2025-01,33.95,5098,194
2025-01-26,affiliate,Affiliate 2025-01,96.97,23992,366
2025-01-27,paid_search,Paid Search 2025-01,67.56,13901,344
2025-01-27,paid_social,Paid Social 2025-01,159.1,31155,523
2025-01-27,email,Email 2025-01,46.06,8427,320
2025-01-27,affiliate,Affiliate 2025-01,75.87,14181,153
2025-01-28,paid_search,Paid Search 2025-01,127.8,27453,349
2025-01-28,paid_social,Paid Social 2025-01,137.72,15957,651
2025-01-28,email,Email 2025-01,25.3,5393,113
2025-01-28,affiliate,Affiliate 2025-01,71.93,16205,419
2025-01-29,paid_search,Paid Search 2025-01,216.86,37594,1370
2025-01-29,paid_social,Paid Social 2025-01,159.13,15365,367
2025-01-29,email,Email 2025-01,26.55,6976,216
2025-01-29,affiliate,Affiliate 2025-01,101.99,25960,761
2025-01-30,paid_search,Paid Search 2025-01,293.76,57181,2074
2025-01-30,paid_social,Paid Social 2025-01,147.53,39225,1270
2025-01-30,email,Email 2025-01,26.87,5437,127
2025-01-30,affiliate,Affiliate 2025-01,67.69,8283,318
2025-01-31,paid_search,Paid Search 2025-01,239.19,26326,747
2025-01-31,paid_social,Paid Social 2025-01,134.37,34178,528
2025-01-31,email,Email 2025-01,42.26,6836,113
2025-01-31,affiliate,Affiliate 2025-01,69.98,17109,615
2025-02-01,paid_search,Paid Search 2025-02,177.55,22320,586
2025-02-01,paid_social,Paid Social 2025-02,141.23,22738,948
2025-02-01,email,Email 2025-02,40.26,9237,106
2025-02-01,affiliate,Affiliate 2025-02,78.81,9033,90
2025-02-02,paid_search,Paid Search 2025-02,215.43,45485,1443
2025-02-02,paid_social,Paid Social 2025-02,130.85,20687,615
2025-02-02,email,Email 2025-02,32.85,4736,113
2025-02-02,affiliate,Affiliate 2025-02,70.41,17752,356
2025-02-03,paid_search,Paid Search 2025-02,271.41,26991,729
2025-02-03,paid_social,Paid Social 2025-02,157.0,25222,727
2025-02-03,email,Email 2025-02,10.6,2799,40
2025-02-03,affiliate,Affiliate 2025-02,95.18,19501,857
2025-02-04,paid_search,Paid Search 2025-02,128.31,30216,1216
2025-02-04,paid_social,Paid Social 2025-02,141.88,32447,486
2025-02-04,email,Email 2025-02,45.43,4419,86
2025-02-04,affiliate,Affiliate 2025-02,76.54,15680,438
2025-02-05,paid_search,Paid Search 2025-02,195.97,46545,1330
2025-02-05,paid_social,Paid Social 2025-02,131.71,21876,878
2025-02-05,email,Email 2025-02,44.87,7602,257
2025-02-05,affiliate,Affiliate 2025-02,48.32,5537,243
2025-02-06,paid_search,Paid Search 2025-02,194.13,18509,792
2025-02-06,paid_social,Paid Social 2025-02,189.69,43955,1407
2025-02-06,email,Email 2025-02,34.8,7402,207
2025-02-06,affiliate,Affiliate 2025-02,98.38,24295,325
2025-02-07,paid_search,Paid Search 2025-02,183.73,31349,1282
2025-02-07,paid_social,Paid Social 2025-02,161.15,24740,513
2025-02-07,email,Email 2025-02,29.75,4272,161
2025-02-07,affiliate,Affiliate 2025-02,62.26,6783,276
2025-02-08,paid_search,Paid Search 2025-02,160.07,38581,343
2025-02-08,paid_social,Paid Social 2025-02,177.28,46973,897
2025-02-08,email,Email 2025-02,31.29,6296,124
2025-02-08,affiliate,Affiliate 2025-02,44.85,10772,250
2025-02-09,paid_search,Paid Search 2025-02,307.83,79389,1880
2025-02-09,paid_social,Paid Social 2025-02,112.76,26027,999
2025-02-09,email,Email 2025-02,47.42,4737,124
2025-02-09,affiliate,Affiliate 2025-02,77.39,13749,200
2025-02-10,paid_search,Paid Search 2025-02,187.31,25932,886
2025-02-10,paid_social,Paid Social 2025-02,129.24,35744,1378
2025-02-10,email,Email 2025-02,30.55,3499,91
2025-02-10,affiliate,Affiliate 2025-02,74.87,13102,385
2025-02-11,paid_search,Paid Search 2025-02,129.82,18142,294
2025-02-11,paid_social,Paid Social 2025-02,123.17,19356,435
2025-02-11,email,Email 2025-02,34.55,8644,75
2025-02-11,affiliate,Affiliate 2025-02,100.3,26796,510
2025-02-12,paid_search,Paid Search 2025-02,177.0,42270,1549
2025-02-12,paid_social,Paid Social 2025-02,148.1,40800,1040
2025-02-12,email,Email 2025-02,35.08,8023,115
2025-02-12,affiliate,Affiliate 2025-02,73.66,17072,361
2025-02-13,paid_search,Paid Search 2025-02,228.88,32017,508
2025-02-13,paid_social,Paid Social 2025-02,191.77,35610,510
2025-02-13,email,Email 2025-02,44.24,10167,244
2025-02-13,affiliate,Affiliate 2025-02,88.33,17610,290
2025-02-14,paid_search,Paid Search 2025-02,165.81,25791,735
2025-02-14,paid_social,Paid Social 2025-02,162.37,30266,699
2025-02-14,email,Email 2025-02,25.79,4499,176
2025-02-14,affiliate,Affiliate 2025-02,52.09,10245,365
2025-02-15,paid_search,Paid Search 2025-02,57.77,15179,586
2025-02-15,paid_social,Paid Social 2025-02,117.93,27377,1092
2025-02-15,email,Email 2025-02,20.28,4265,65
2025-02-15,affiliate,Affiliate 2025-02,61.48,17017,400
2025-02-16,paid_search,Paid Search 2025-02,274.86,28397,1172
2025-02-16,paid_social,Paid Social 2025-02,159.38,30129,1228
2025-02-16,email,Email 2025-02,31.69,5266,200
2025-02-16,affiliate,Affiliate 2025-02,64.15,15331,586
2025-02-17,paid_search,Paid Search 2025-02,235.18,56431,544
2025-02-17,paid_social,Paid Social 2025-02,131.95,30098,778
2025-02-17,email,Email 2025-02,52.73,11634,207
2025-02-17,affiliate,Affiliate 2025-02,67.35,7807,203
2025-02-18,paid_search,Paid Search 2025-02,266.89,59089,2261
2025-02-18,paid_social,Paid Social 2025-02,162.87,32845,1201
2025-02-18,email,Email 2025-02,38.56,5814,233
2025-02-18,affiliate,Affiliate 2025-02,66.94,6063,163
2025-02-19,paid_search,Paid Search 2025-02,255.14,65896,560
2025-02-19,paid_social,Paid Social 2025-02,157.14,35009,1278
2025-02-19,email,Email 2025-02,22.97,5842,50
2025-02-19,affiliate,Affiliate 2025-02,87.27,20931,396
2025-02-20,paid_search,Paid Search 2025-02,190.77,26280,362
2025-02-20,paid_social,Paid Social 2025-02,203.56,50094,2190
2025-02-20,email,Email 2025-02,38.39,3597,99
2025-02-20,affiliate,Affiliate 2025-02,98.18,25807,555
2025-02-21,paid_search,Paid Search 2025-02,260.66,60100,1861
2025-02-21,paid_social,Paid Social 2025-02,177.93,40348,1758
2025-02-21,email,Email 2025-02,45.42,11125,299
2025-02-21,affiliate,Affiliate 2025-02,59.81,11900,332
2025-02-22,paid_search,Paid Search 2025-02,230.52,40841,1320
2025-02-22,paid_social,Paid Social 2025-02,89.91,19588,871
2025-02-22,email,Email 2025-02,28.13,3856,78
2025-02-22,affiliate,Affiliate 2025-02,71.65,19659,402
2025-02-23,paid_search,Paid Search 2025-02,174.35,36563,1388
2025-02-23,paid_social,Paid Social 2025-02,167.13,42349,934
2025-02-23,email,Email 2025-02,41.44,6981,120
2025-02-23,affiliate,Affiliate 2025-02,117.32,17965,191
2025-02-24,paid_search,Paid Search 2025-02,174.12,29051,871
2025-02-24,paid_social,Paid Social 2025-02,192.87,18192,687
2025-02-24,email,Email 2025-02,40.23,10411,96
2025-02-24,affiliate,Affiliate 2025-02,47.88,9302,313
2025-02-25,paid_search,Paid Search 2025-02,272.38,69998,792
2025-02-25,paid_social,Paid Social 2025-02,145.79,36980,902
2025-02-25,email,Email 2025-02,24.9,2908,57
2025-02-25,affiliate,Affiliate 2025-02,60.35,14959,454
2025-02-26,paid_search,Paid Search 2025-02,95.29,16938,460
2025-02-26,paid_social,Paid Social 2025-02,203.34,32205,1353
2025-02-26,email,Email 2025-02,47.18,6756,256
2025-02-26,affiliate,Affiliate 2025-02,87.7,19727,170
2025-02-27,paid_search,Paid Search 2025-02,343.24,86130,2191
2025-02-27,paid_social,Paid Social 2025-02,171.98,31840,748
2025-02-27,email,Email 2025-02,35.5,4408,129
2025-02-27,affiliate,Affiliate 2025-02,112.12,17569,288
2025-02-28,paid_search,Paid Search 2025-02,185.69,48060,891
2025-02-28,paid_social,Paid Social 2025-02,154.34,19957,747
2025-02-28,email,Email 2025-02,38.82,5970,87
2025-02-28,affiliate,Affiliate 2025-02,69.18,13959,190
2025-03-01,paid_search,Paid Search 2025-03,360.78,39090,587
2025-03-01,paid_social,Paid Social 2025-03,121.65,13447,268
2025-03-01,email,Email 2025-03,30.64,3504,106
2025-03-01,affiliate,Affiliate 2025-03,90.38,17321,565
2025-03-02,paid_search,Paid Search 2025-03,294.39,56766,868
2025-03-02,paid_social,Paid Social 2025-03,171.65,35820,1498
2025-03-02,email,Email 2025-03,34.82,9680,122
2025-03-02,affiliate,Affiliate 2025-03,86.45,12001,202
2025-03-03,paid_search,Paid Search 2025-03,188.86,23779,687
2025-03-03,paid_social,Paid Social 2025-03,114.86,23018,415
2025-03-03,email,Email 2025-03,40.97,6964,72
2025-03-03,affiliate,Affiliate 2025-03,102.16,26677,282
2025-03-04,paid_search,Paid Search 2025-03,273.49,69050,651
2025-03-04,paid_social,Paid Social 2025-03,106.44,9964,287
2025-03-04,email,Email 2025-03,37.65,10210,194
2025-03-04,affiliate,Affiliate 2025-03,81.75,12948,325
2025-03-05,paid_search,Paid Search 2025-03,190.62,35170,1102
2025-03-05,paid_social,Paid Social 2025-03,123.09,22888,363
2025-03-05,email,Email 2025-03,27.58,5998,120
2025-03-05,affiliate,Affiliate 2025-03,77.05,7487,132
2025-03-06,paid_search,Paid Search 2025-03,233.73,55971,1566
2025-03-06,paid_social,Paid Social 2025-03,123.26,31809,799
2025-03-06,email,Email 2025-03,43.61,9896,94
2025-03-06,affiliate,Affiliate 2025-03,89.86,15413,472
2025-03-07,paid_search,Paid Search 2025-03,275.76,67849,734
2025-03-07,paid_social,Paid Social 2025-03,164.3,16871,571
2025-03-07,email,Email 2025-03,36.07,4974,186
2025-03-07,affiliate,Affiliate 2025-03,52.39,7026,65
2025-03-08,paid_search,Paid Search 2025-03,317.47,44070,1633
2025-03-08,paid_social,Paid Social 2025-03,171.21,34941,1196
2025-03-08,email,Email 2025-03,40.02,9504,196
2025-03-08,affiliate,Affiliate 2025-03,90.58,11921,334
2025-03-09,paid_search,Paid Search 2025-03,295.77,35307,1103
2025-03-09,paid_social,Paid Social 2025-03,217.27,39720,1161
2025-03-09,email,Email 2025-03,34.11,3953,142
2025-03-09,affiliate,Affiliate 2025-03,79.22,8883,390
2025-03-10,paid_search,Paid Search 2025-03,189.74,44181,1506
2025-03-10,paid_social,Paid Social 2025-03,132.31,23482,243
2025-03-10,email,Email 2025-03,28.82,3304,73
2025-03-10,affiliate,Affiliate 2025-03,58.41,11269,440
2025-03-11,paid_search,Paid Search 2025-03,276.5,55778,2098
2025-03-11,paid_social,Paid Social 2025-03,224.37,29726,978
2025-03-11,email,Email 2025-03,37.59,10117,118
2025-03-11,affiliate,Affiliate 2025-03,53.87,10004,432
2025-03-12,paid_search,Paid Search 2025-03,244.66,64964,1072
2025-03-12,paid_social,Paid Social 2025-03,121.54,28303,269
2025-03-12,email,Email 2025-03,28.68,2737,70
2025-03-12,affiliate,Affiliate 2025-03,70.09,17941,418
2025-03-13,paid_search,Paid Search 2025-03,244.13,23785,469
2025-03-13,paid_social,Paid Social 2025-03,147.5,38213,1506
2025-03-13,email,Email 2025-03,47.11,6463,131
2025-03-13,affiliate,Affiliate 2025-03,68.12,16150,621
2025-03-14,paid_search,Paid Search 2025-03,225.0,23970,1037
2025-03-14,paid_social,Paid Social 2025-03,159.25,20414,364
2025-03-14,email,Email 2025-03,44.01,8126,155
2025-03-14,affiliate,Affiliate 2025-03,111.06,12643,334
2025-03-15,paid_search,Paid Search 2025-03,238.57,48507,711
2025-03-15,paid_social,Paid Social 2025-03,180.17,49107,695
2025-03-15,email,Email 2025-03,38.62,10689,355
2025-03-15,affiliate,Affiliate 2025-03,102.12,24568,1048
2025-03-16,paid_search,Paid Search 2025-03,233.28,47617,1410
2025-03-16,paid_social,Paid Social 2025-03,161.59,15927,351
2025-03-16,email,Email 2025-03,40.47,8625,292
2025-03-16,affiliate,Affiliate 2025-03,52.06,9259,211
2025-03-17,paid_search,Paid Search 2025-03,331.9,82241,3331
2025-03-17,paid_social,Paid Social 2025-03,106.1,12472,172
2025-03-17,email,Email 2025-03,39.28,7082,267
2025-03-17,affiliate,Affiliate 2025-03,106.72,20847,805
2025-03-18,paid_search,Paid Search 2025-03,208.03,40008,1279
2025-03-18,paid_social,Paid Social 2025-03,156.9,18257,319
2025-03-18,email,Email 2025-03,33.85,4682,79
2025-03-18,affiliate,Affiliate 2025-03,79.96,12476,342
2025-03-19,paid_search,Paid Search 2025-03,228.64,49248,754
2025-03-19,paid_social,Paid Social 2025-03,225.58,27185,1177
2025-03-19,email,Email 2025-03,17.15,2449,33
2025-03-19,affiliate,Affiliate 2025-03,104.15,13299,311
2025-03-20,paid_search,Paid Search 2025-03,162.14,24602,615
2025-03-20,paid_social,Paid Social 2025-03,188.02,43982,1815
2025-03-20,email,Email 2025-03,35.73,8094,335
2025-03-20,affiliate,Affiliate 2025-03,53.72,8930,348
2025-03-21,paid_search,Paid Search 2025-03,203.57,22181,513
2025-03-21,paid_social,Paid Social 2025-03,207.22,54578,2414
2025-03-21,email,Email 2025-03,22.64,5660,225
2025-03-21,affiliate,Affiliate 2025-03,54.67,9091,129
2025-03-22,paid_search,Paid Search 2025-03,240.05,60510,597
2025-03-22,paid_social,Paid Social 2025-03,146.32,34397,788
2025-03-22,email,Email 2025-03,38.44,5903,142
2025-03-22,affiliate,Affiliate 2025-03,76.62,9258,366
2025-03-23,paid_search,Paid Search 2025-03,102.57,26836,1134
2025-03-23,paid_social,Paid Social 2025-03,162.04,19823,589
2025-03-23,email,Email 2025-03,35.05,9095,172
2025-03-23,affiliate,Affiliate 2025-03,97.5,26568,607
2025-03-24,paid_search,Paid Search 2025-03,237.47,58985,1445
2025-03-24,paid_social,Paid Social 2025-03,172.28,35963,388
2025-03-24,email,Email 2025-03,40.4,9301,196
2025-03-24,affiliate,Affiliate 2025-03,98.72,11676,445
2025-03-25,paid_search,Paid Search 2025-03,265.26,36900,550
2025-03-25,paid_social,Paid Social 2025-03,196.96,53018,1851
2025-03-25,email,Email 2025-03,35.56,4996,139
2025-03-25,affiliate,Affiliate 2025-03,96.39,11255,188
2025-03-26,paid_search,Paid Search 2025-03,233.57,34200,399
2025-03-26,paid_social,Paid Social 2025-03,149.43,26751,260
2025-03-26,email,Email 2025-03,22.75,3809,33
2025-03-26,affiliate,Affiliate 2025-03,68.54,10971,472
2025-03-27,paid_search,Paid Search 2025-03,187.82,38608,1631
2025-03-27,paid_social,Paid Social 2025-03,163.95,34587,981
2025-03-27,email,Email 2025-03,36.89,9137,306
2025-03-27,affiliate,Affiliate 2025-03,75.84,12960,462
2025-03-28,paid_search,Paid Search 2025-03,223.88,26280,912
2025-03-28,paid_social,Paid Social 2025-03,147.05,30051,1271
2025-03-28,email,Email 2025-03,47.54,8042,99
2025-03-28,affiliate,Affiliate 2025-03,44.77,8322,217
2025-03-29,paid_search,Paid Search 2025-03,196.95,28476,240
2025-03-29,paid_social,Paid Social 2025-03,187.99,22881,498
2025-03-29,email,Email 2025-03,32.35,3362,32
2025-03-29,affiliate,Affiliate 2025-03,94.3,22077,878
2025-03-30,paid_search,Paid Search 2025-03,207.62,51798,1253
2025-03-30,paid_social,Paid Social 2025-03,140.58,32146,1050
2025-03-30,email,Email 2025-03,41.14,11022,267
2025-03-30,affiliate,Affiliate 2025-03,89.92,20546,409
2025-03-31,paid_search,Paid Search 2025-03,223.59,47539,928
2025-03-31,paid_social,Paid Social 2025-03,159.79,38062,1711
2025-03-31,email,Email 2025-03,19.36,4418,70
2025-03-31,affiliate,Affiliate 2025-03,77.62,13242,496
2025-04-01,paid_search,Paid Search 2025-04,233.69,41863,1292
2025-04-01,paid_social,Paid Social 2025-04,157.25,19415,671
2025-04-01,email,Email 2025-04,35.99,5530,245
2025-04-01,affiliate,Affiliate 2025-04,86.47,11689,273
2025-04-02,paid_search,Paid Search 2025-04,293.07,71424,806
2025-04-02,paid_social,Paid Social 2025-04,160.43,24915,747
2025-04-02,email,Email 2025-04,50.35,13957,165
2025-04-02,affiliate,Affiliate 2025-04,45.01,6770,67
2025-04-03,paid_search,Paid Search 2025-04,181.93,48846,775
2025-04-03,paid_social,Paid Social 2025-04,192.31,33215,923
2025-04-03,email,Email 2025-04,47.76,5246,123
2025-04-03,affiliate,Affiliate 2025-04,113.02,23306,1041
2025-04-04,paid_search,Paid Search 2025-04,254.59,32587,485
2025-04-04,paid_social,Paid Social 2025-04,132.22,28209,636
2025-04-04,email,Email 2025-04,31.75,3701,73
2025-04-04,affiliate,Affiliate 2025-04,100.17,21128,769
2025-04-05,paid_search,Paid Search 2025-04,202.29,46027,1020
2025-04-05,paid_social,Paid Social 2025-04,183.63,44419,1028
2025-04-05,email,Email 2025-04,41.15,9966,439
2025-04-05,affiliate,Affiliate 2025-04,73.89,15110,398
2025-04-06,paid_search,Paid Search 2025-04,190.49,40987,1031
2025-04-06,paid_social,Paid Social 2025-04,168.08,39005,389
2025-04-06,email,Email 2025-04,38.14,4422,72
2025-04-06,affiliate,Affiliate 2025-04,74.65,19487,181
2025-04-07,paid_search,Paid Search 2025-04,236.08,59280,505
2025-04-07,paid_social,Paid Social 2025-04,155.54,33674,1120
2025-04-07,email,Email 2025-04,41.91,5462,62
2025-04-07,affiliate,Affiliate 2025-04,76.65,19681,268
2025-04-08,paid_search,Paid Search 2025-04,224.71,29451,1125
2025-04-08,paid_social,Paid Social 2025-04,118.0,16004,588
2025-04-08,email,Email 2025-04,42.88,8974,189
2025-04-08,affiliate,Affiliate 2025-04,100.39,16187,478
2025-04-09,paid_search,Paid Search 2025-04,168.58,41503,1626
2025-04-09,paid_social,Paid Social 2025-04,134.26,30245,926
2025-04-09,email,Email 2025-04,23.32,5988,264
2025-04-09,affiliate,Affiliate 2025-04,74.08,19515,645
2025-04-10,paid_search,Paid Search 2025-04,231.06,49727,811
2025-04-10,paid_social,Paid Social 2025-04,215.32,55050,1135
2025-04-10,email,Email 2025-04,25.18,5476,119
2025-04-10,affiliate,Affiliate 2025-04,75.9,10650,291
2025-04-11,paid_search,Paid Search 2025-04,177.33,25817,1057
2025-04-11,paid_social,Paid Social 2025-04,206.84,21820,424
2025-04-11,email,Email 2025-04,24.81,6226,120
2025-04-11,affiliate,Affiliate 2025-04,38.28,6379,217
2025-04-12,paid_search,Paid Search 2025-04,249.98,36216,923
2025-04-12,paid_social,Paid Social 2025-04,207.68,56357,1551
2025-04-12,email,Email 2025-04,21.22,5380,145
2025-04-12,affiliate,Affiliate 2025-04,66.84,17744,452
2025-04-13,paid_search,Paid Search 2025-04,337.9,62500,1718
2025-04-13,paid_social,Paid Social 2025-04,158.39,41643,799
2025-04-13,email,Email 2025-04,33.32,3591,160
2025-04-13,affiliate,Affiliate 2025-04,73.11,16542,329
2025-04-14,paid_search,Paid Search 2025-04,292.48,60976,1503
2025-04-14,paid_social,Paid Social 2025-04,178.19,25192,262
2025-04-14,email,Email 2025-04,38.99,10431,421
2025-04-14,affiliate,Affiliate 2025-04,68.8,7409,235
2025-04-15,paid_search,Paid Search 2025-04,220.11,20091,259
2025-04-15,paid_social,Paid Social 2025-04,178.84,38523,605
2025-04-15,email,Email 2025-04,34.25,8555,197
2025-04-15,affiliate,Affiliate 2025-04,64.46,8266,132
2025-04-16,paid_search,Paid Search 2025-04,229.49,63693,2532
2025-04-16,paid_social,Paid Social 2025-04,135.42,30150,465
2025-04-16,email,Email 2025-04,32.49,7699,131
2025-04-16,affiliate,Affiliate 2025-04,55.02,7098,190
2025-04-17,paid_search,Paid Search 2025-04,171.34,30899,752
2025-04-17,paid_social,Paid Social 2025-04,163.73,29382,1286
2025-04-17,email,Email 2025-04,32.21,3833,107
2025-04-17,affiliate,Affiliate 2025-04,78.85,10593,126
2025-04-18,paid_search,Paid Search 2025-04,310.21,71788,1456
2025-04-18,paid_social,Paid Social 2025-04,88.12,22075,180
2025-04-18,email,Email 2025-04,33.05,4271,141
2025-04-18,affiliate,Affiliate 2025-04,57.56,6718,211
2025-04-19,paid_search,Paid Search 2025-04,233.17,64649,1172
2025-04-19,paid_social,Paid Social 2025-04,160.46,20542,763
2025-04-19,email,Email 2025-04,29.24,4653,126
2025-04-19,affiliate,Affiliate 2025-04,67.42,12513,354
2025-04-20,paid_search,Paid Search 2025-04,229.94,45484,834
2025-04-20,paid_social,Paid Social 2025-04,167.89,19834,740
2025-04-20,email,Email 2025-04,34.45,7896,113
2025-04-20,affiliate,Affiliate 2025-04,37.17,9302,402
2025-04-21,paid_search,Paid Search 2025-04,155.92,39054,1476
2025-04-21,paid_social,Paid Social 2025-04,108.57,10654,121
2025-04-21,email,Email 2025-04,27.65,5324,140
2025-04-21,affiliate,Affiliate 2025-04,92.7,24564,1098
2025-04-22,paid_search,Paid Search 2025-04,255.7,50248,1780
2025-04-22,paid_social,Paid Social 2025-04,111.77,28235,1127
2025-04-22,email,Email 2025-04,26.33,3785,110
2025-04-22,affiliate,Affiliate 2025-04,89.34,16809,714
2025-04-23,paid_search,Paid Search 2025-04,251.01,39236,847
2025-04-23,paid_social,Paid Social 2025-04,182.18,32110,1055
2025-04-23,email,Email 2025-04,31.15,6426,193
2025-04-23,affiliate,Affiliate 2025-04,109.97,11049,406
2025-04-24,paid_search,Paid Search 2025-04,312.18,73334,1795
