payment_id,order_id,payment_method,payment_status,amount,paid_at
PAY00000071,ORD0000071,card,refunded,510.65,2025-06-23 23:14:46
PAY00000072,ORD0000072,bank_transfer,paid,1082.02,2025-11-11 22:14:17
PAY00000073,ORD0000073,card,failed,0.0,2025-04-05 09:29:15
PAY00000074,ORD0000074,card,paid,424.01,2025-08-19 17:46:03
PAY00000075,ORD0000075,paypal,paid,778.61,2025-09-09 10:08:24
PAY00000076,ORD0000076,bank_transfer,paid,1132.65,2025-12-17 14:42:08
PAY00000077,ORD0000077,klarna,paid,474.61,2026-05-12 21:48:19
PAY00000078,ORD0000078,card,paid,541.36,2025-07-30 15:57:43
PAY00000079,ORD0000079,klarna,failed,0.0,2025-05-11 23:39:00
PAY00000080,ORD0000080,klarna,failed,0.0,2026-06-24 18:41:29
PAY00000081,ORD0000081,card,paid,368.67,2025-11-30 14:45:34
PAY00000082,ORD0000082,card,paid,697.3,2025-11-09 12:48:53
PAY00000083,ORD0000083,card,failed,0.0,2025-06-22 20:20:41
PAY00000084,ORD0000084,card,paid,659.8,2026-03-01 15:19:35
PAY00000085,ORD0000085,card,paid,550.31,2025-08-23 17:33:11
PAY00000086,ORD0000086,card,paid,973.51,2025-11-16 10:00:56
PAY00000087,ORD0000087,card,paid,284.89,2025-11-27 12:48:18
PAY00000088,ORD0000088,paypal,paid,239.22,2025-09-23 20:59:35
PAY00000089,ORD0000089,card,paid,637.12,2025-12-07 11:23:46
PAY00000090,ORD0000090,card,paid,226.06,2025-05-07 01:11:51
PAY00000091,ORD0000091,card,paid,227.76,2026-03-14 21:34:21
PAY00000092,ORD0000092,card,paid,611.27,2025-12-21 17:35:25
PAY00000093,ORD0000093,paypal,paid,517.42,2025-12-15 09:21:33
PAY00000094,ORD0000094,paypal,paid,520.37,2026-04-27 14:20:38
PAY00000095,ORD0000095,card,paid,399.18,2025-11-04 16:36:07
PAY00000096,ORD0000096,card,paid,320.59,2025-05-22 19:26:20
PAY00000097,ORD0000097,card,paid,714.46,2025-01-11 18:12:56
PAY00000098,ORD0000098,card,refunded,366.05,2026-02-13 16:41:00
PAY00000099,ORD0000099,klarna,paid,115.68,2025-11-20 23:59:08
PAY00000100,ORD0000100,card,paid,114.8,2026-01-26 18:36:21
PAY00000101,ORD0000101,card,paid,660.55,2026-02-20 00:43:14
PAY00000102,ORD0000102,klarna,paid,615.85,2025-11-16 13:27:49
PAY00000103,ORD0000103,card,paid,859.82,2026-01-08 13:40:24
PAY00000104,ORD0000104,card,paid,540.68,2025-12-09 17:58:06
PAY00000105,ORD0000105,paypal,paid,255.7,2025-03-15 08:53:09
PAY00000106,ORD0000106,paypal,paid,210.45,2025-08-20 19:05:37
PAY00000107,ORD0000107,card,paid,178.59,2026-02-28 11:27:18
PAY00000108,ORD0000108,card,refunded,335.59,2025-05-12 20:35:18
PAY00000109,ORD0000109,card,paid,356.66,2025-11-10 00:00:50
PAY00000110,ORD0000110,klarna,paid,286.89,2025-06-13 00:41:46
PAY00000111,ORD0000111,paypal,paid,335.91,2025-04-24 12:44:46
PAY00000112,ORD0000112,card,paid,286.89,2026-04-01 23:16:46
PAY00000113,ORD0000113,card,paid,878.78,2025-08-20 08:52:30
PAY00000114,ORD0000114,paypal,paid,362.3,2025-11-08 13:55:28
PAY00000115,ORD0000115,card,paid,57.84,2025-12-02 19:44:42
PAY00000116,ORD0000116,card,refunded,876.17,2025-03-07 16:51:47
PAY00000117,ORD0000117,bank_transfer,paid,86.55,2026-02-17 12:36:34
PAY00000118,ORD0000118,paypal,paid,107.09,2026-02-06 14:44:21
PAY00000119,ORD0000119,paypal,paid,1241.19,2025-04-17 18:56:12
PAY00000120,ORD0000120,card,failed,0.0,2026-05-19 17:29:42
PAY00000121,ORD0000121,paypal,paid,88.49,2025-07-25 08:32:24
PAY00000122,ORD0000122,card,paid,197.04,2025-12-02 14:27:49
PAY00000123,ORD0000123,klarna,paid,15.25,2025-12-02 08:50:02
PAY00000124,ORD0000124,klarna,refunded,1422.34,2025-11-23 14:20:24
PAY00000125,ORD0000125,klarna,failed,0.0,2025-02-23 17:23:24
PAY00000126,ORD0000126,paypal,paid,921.62,2026-03-07 21:13:50
PAY00000127,ORD0000127,card,paid,302.96,2025-11-07 14:19:37
PAY00000128,ORD0000128,card,paid,222.93,2025-11-20 23:16:10
PAY00000129,ORD0000129,paypal,paid,771.53,2026-06-22 10:49:36
PAY00000130,ORD0000130,klarna,paid,166.22,2025-07-17 12:59:54
PAY00000131,ORD0000131,card,paid,938.38,2026-02-23 12:06:09
PAY00000132,ORD0000132,paypal,refunded,639.02,2026-04-02 14:42:07
PAY00000133,ORD0000133,card,paid,660.66,2026-02-02 17:56:39
PAY00000134,ORD0000134,card,paid,742.17,2025-09-01 15:50:15
PAY00000135,ORD0000135,klarna,paid,90.59,2025-12-17 19:45:12
PAY00000136,ORD0000136,card,paid,640.79,2026-03-24 15:13:50
PAY00000137,ORD0000137,card,paid,208.58,2026-06-28 16:05:46
PAY00000138,ORD0000138,card,paid,448.05,2025-11-03 23:37:49
PAY00000139,ORD0000139,paypal,paid,55.14,2025-09-18 07:53:42
PAY00000140,ORD0000140,card,paid,577.84,2026-02-27 22:54:40
PAY00000141,ORD0000141,card,paid,298.11,2025-06-25 10:05:58
PAY00000142,ORD0000142,klarna,paid,334.11,2025-05-12 11:06:30
PAY00000143,ORD0000143,card,paid,551.52,2025-11-24 01:10:33
PAY00000144,ORD0000144,klarna,failed,0.0,2025-12-28 10:28:25
PAY00000145,ORD0000145,klarna,paid,964.53,2026-05-11 18:41:43
PAY00000146,ORD0000146,bank_transfer,paid,1397.35,2025-09-10 22:39:42
PAY00000147,ORD0000147,card,paid,758.39,2025-05-27 14:07:45
PAY00000148,ORD0000148,klarna,paid,1533.33,2025-10-13 00:25:20
PAY00000149,ORD0000149,paypal,paid,600.49,2025-12-10 22:32:05
PAY00000150,ORD0000150,card,paid,1052.08,2026-06-07 20:58:45
PAY00000151,ORD0000151,card,paid,439.33,2025-04-05 23:50:28
PAY00000152,ORD0000152,card,paid,224.6,2025-11-27 21:42:35
PAY00000153,ORD0000153,card,paid,666.71,2026-04-24 23:01:01
PAY00000154,ORD0000154,klarna,paid,731.37,2026-03-26 20:59:30
PAY00000155,ORD0000155,card,paid,302.84,2025-03-12 19:50:03
PAY00000156,ORD0000156,paypal,paid,365.79,2025-12-04 11:18:48
PAY00000157,ORD0000157,card,paid,548.13,2025-12-04 21:01:31
PAY00000158,ORD0000158,card,failed,0.0,2026-02-22 12:53:29
PAY00000159,ORD0000159,card,paid,41.18,2026-03-25 10:35:52
PAY00000160,ORD0000160,paypal,paid,592.24,2025-10-22 10:27:49
PAY00000161,ORD0000161,card,paid,572.18,2025-05-02 15:12:22
PAY00000162,ORD0000162,bank_transfer,failed,0.0,2025-06-15 10:03:06
PAY00000163,ORD0000163,paypal,refunded,389.67,2025-09-29 22:13:48
PAY00000164,ORD0000164,paypal,paid,426.48,2025-10-01 23:16:35
PAY00000165,ORD0000165,card,refunded,220.92,2025-11-26 14:20:23
PAY00000166,ORD0000166,card,paid,901.79,2025-08-06 16:34:50
PAY00000167,ORD0000167,card,paid,358.02,2025-03-20 22:09:43
PAY00000168,ORD0000168,card,paid,183.53,2025-11-12 00:58:16
PAY00000169,ORD0000169,card,paid,392.8,2026-05-01 08:27:35
PAY00000170,ORD0000170,bank_transfer,paid,900.07,2025-04-21 23:56:35
PAY00000171,ORD0000171,paypal,paid,392.8,2025-09-11 09:59:15
PAY00000172,ORD0000172,card,paid,210.71,2025-12-13 23:12:01
PAY00000173,ORD0000173,card,paid,1994.07,2026-02-22 17:40:39
PAY00000174,ORD0000174,card,paid,313.86,2025-03-20 22:25:22
PAY00000175,ORD0000175,paypal,paid,377.11,2025-12-20 14:09:31
PAY00000176,ORD0000176,card,paid,198.87,2025-05-20 22:52:20
PAY00000177,ORD0000177,klarna,paid,126.87,2026-01-13 13:44:01
PAY00000178,ORD0000178,card,paid,1936.66,2025-12-21 13:47:54
PAY00000179,ORD0000179,paypal,paid,140.61,2025-07-12 10:45:42
PAY00000180,ORD0000180,bank_transfer,paid,441.6,2026-03-17 13:57:11
PAY00000181,ORD0000181,card,paid,301.06,2026-02-19 21:24:45
PAY00000182,ORD0000182,card,paid,917.03,2025-07-14 21:21:51
PAY00000183,ORD0000183,paypal,paid,703.67,2026-04-15 16:04:05
PAY00000184,ORD0000184,card,paid,144.64,2026-03-12 00:13:01
PAY00000185,ORD0000185,card,paid,127.47,2025-11-16 13:47:38
PAY00000186,ORD0000186,card,paid,306.82,2026-04-09 18:56:25
PAY00000187,ORD0000187,klarna,refunded,975.12,2025-12-10 17:32:05
PAY00000188,ORD0000188,paypal,paid,879.78,2026-03-04 17:33:31
PAY00000189,ORD0000189,paypal,paid,236.32,2025-11-12 14:37:24
PAY00000190,ORD0000190,paypal,paid,336.11,2026-06-28 10:11:32
PAY00000191,ORD0000191,card,paid,44.18,2025-07-26 22:56:05
PAY00000192,ORD0000192,paypal,paid,63.5,2025-08-07 18:46:56
PAY00000193,ORD0000193,bank_transfer,paid,1164.86,2025-05-20 11:10:09
PAY00000194,ORD0000194,paypal,paid,438.59,2026-03-02 12:32:46
PAY00000195,ORD0000195,card,paid,753.14,2025-08-02 13:48:00
PAY00000196,ORD0000196,paypal,paid,751.76,2025-04-19 10:34:53
PAY00000197,ORD0000197,card,paid,383.91,2026-03-12 11:37:55
PAY00000198,ORD0000198,paypal,paid,1175.56,2025-06-07 11:23:54
PAY00000199,ORD0000199,card,failed,0.0,2025-11-24 15:18:28
PAY00000200,ORD0000200,card,paid,833.86,2025-10-26 17:59:43
PAY00000201,ORD0000201,card,paid,394.09,2026-06-23 17:23:27
PAY00000202,ORD0000202,card,paid,448.87,2025-09-16 07:59:47
PAY00000203,ORD0000203,card,paid,1155.97,2026-01-07 16:19:58
PAY00000204,ORD0000204,card,paid,548.13,2026-01-21 22:41:19
PAY00000205,ORD0000205,paypal,paid,300.83,2026-02-04 14:07:19
PAY00000206,ORD0000206,card,paid,669.15,2025-11-29 17:10:18
PAY00000207,ORD0000207,paypal,paid,216.7,2025-12-23 21:01:32
PAY00000208,ORD0000208,paypal,refunded,171.29,2026-05-18 11:03:39
PAY00000209,ORD0000209,card,paid,382.64,2025-07-10 23:38:56
PAY00000210,ORD0000210,klarna,paid,1493.8,2025-08-08 13:47:12
PAY00000211,ORD0000211,paypal,paid,646.74,2025-07-07 16:37:50
PAY00000212,ORD0000212,klarna,paid,331.78,2026-04-02 09:51:06
PAY00000213,ORD0000213,card,paid,474.66,2025-11-27 19:41:52
PAY00000214,ORD0000214,card,paid,333.0,2026-01-26 22:56:14
PAY00000215,ORD0000215,klarna,paid,177.74,2025-01-20 10:57:20
PAY00000216,ORD0000216,klarna,failed,0.0,2025-03-11 17:39:25
PAY00000217,ORD0000217,card,paid,323.05,2026-05-29 16:26:34
PAY00000218,ORD0000218,card,paid,229.76,2025-12-07 10:00:35
PAY00000219,ORD0000219,card,paid,630.17,2026-04-23 11:25:03
PAY00000220,ORD0000220,card,paid,462.59,2025-11-22 15:18:19
PAY00000221,ORD0000221,card,paid,207.41,2026-04-01 21:40:26
PAY00000222,ORD0000222,card,paid,432.69,2026-01-07 18:19:31
PAY00000223,ORD0000223,card,refunded,1036.71,2025-04-28 09:42:10
PAY00000224,ORD0000224,card,failed,0.0,2025-11-21 21:09:59
PAY00000225,ORD0000225,klarna,paid,331.02,2025-12-29 00:46:46
PAY00000226,ORD0000226,card,paid,669.34,2026-02-11 20:40:34
PAY00000227,ORD0000227,paypal,paid,435.69,2026-06-12 15:16:30
PAY00000228,ORD0000228,card,paid,883.94,2026-04-22 23:28:51
PAY00000229,ORD0000229,card,paid,791.81,2025-12-17 16:39:05
PAY00000230,ORD0000230,card,paid,235.16,2025-11-24 12:04:03
PAY00000231,ORD0000231,bank_transfer,paid,783.19,2026-03-25 18:19:26
PAY00000232,ORD0000232,paypal,failed,0.0,2025-02-25 12:49:03
PAY00000233,ORD0000233,card,paid,1083.82,2026-03-15 11:31:44
PAY00000234,ORD0000234,klarna,refunded,394.17,2025-11-05 18:02:29
PAY00000235,ORD0000235,paypal,paid,749.17,2026-05-19 12:20:56
PAY00000236,ORD0000236,paypal,paid,612.42,2025-11-30 13:38:00
PAY00000237,ORD0000237,card,paid,282.81,2026-06-22 15:44:57
PAY00000238,ORD0000238,card,paid,736.56,2026-03-15 13:02:37
PAY00000239,ORD0000239,paypal,paid,965.03,2025-07-22 09:54:41
PAY00000240,ORD0000240,card,paid,1273.05,2025-08-05 19:47:25
PAY00000241,ORD0000241,card,paid,360.07,2025-11-16 10:01:21
PAY00000242,ORD0000242,card,paid,151.09,2025-02-17 11:21:58
PAY00000243,ORD0000243,paypal,paid,178.73,2026-04-30 15:50:38
PAY00000244,ORD0000244,paypal,paid,687.74,2026-06-05 19:46:12
PAY00000245,ORD0000245,card,paid,86.21,2025-11-09 20:44:41
PAY00000246,ORD0000246,paypal,paid,140.52,2025-12-08 10:01:32
PAY00000247,ORD0000247,card,paid,88.55,2025-06-14 19:06:37
PAY00000248,ORD0000248,klarna,paid,26.52,2025-11-25 16:40:39
PAY00000249,ORD0000249,card,paid,547.07,2025-11-01 19:05:35
PAY00000250,ORD0000250,paypal,paid,214.57,2026-04-27 13:30:41
PAY00000251,ORD0000251,bank_transfer,refunded,219.82,2026-01-23 10:28:56
PAY00000252,ORD0000252,klarna,paid,508.55,2026-05-29 18:43:09
PAY00000253,ORD0000253,card,paid,209.41,2025-12-01 13:03:24
PAY00000254,ORD0000254,paypal,paid,274.79,2026-06-12 20:03:58
PAY00000255,ORD0000255,card,paid,344.0,2026-04-27 14:06:05
PAY00000256,ORD0000256,card,paid,300.01,2025-11-29 16:43:04
PAY00000257,ORD0000257,paypal,paid,91.05,2025-12-19 17:15:47
PAY00000258,ORD0000258,card,refunded,670.42,2025-11-20 20:40:25
PAY00000259,ORD0000259,card,paid,692.41,2025-11-12 11:38:54
PAY00000260,ORD0000260,paypal,paid,380.22,2026-04-14 15:02:27
PAY00000261,ORD0000261,card,refunded,819.45,2025-12-31 22:18:13
PAY00000262,ORD0000262,card,paid,735.14,2025-12-14 12:14:52
PAY00000263,ORD0000263,paypal,paid,343.22,2025-11-27 11:36:57
PAY00000264,ORD0000264,card,refunded,776.96,2025-11-05 17:18:21
PAY00000265,ORD0000265,card,failed,0.0,2026-04-30 21:51:24
PAY00000266,ORD0000266,paypal,paid,902.24,2025-12-18 00:29:48
PAY00000267,ORD0000267,klarna,paid,255.73,2025-11-09 16:16:02
PAY00000268,ORD0000268,paypal,paid,1092.77,2025-10-28 13:51:53
PAY00000269,ORD0000269,card,paid,35.58,2026-02-15 11:43:44
PAY00000270,ORD0000270,card,paid,974.39,2025-11-27 08:03:52
PAY00000271,ORD0000271,paypal,paid,78.79,2026-01-24 22:57:14
PAY00000272,ORD0000272,paypal,paid,1272.48,2025-12-27 21:16:49
PAY00000273,ORD0000273,paypal,paid,399.92,2026-05-14 09:30:01
PAY00000274,ORD0000274,card,paid,352.23,2025-02-04 17:24:47
PAY00000275,ORD0000275,bank_transfer,paid,532.01,2026-02-01 19:54:17
PAY00000276,ORD0000276,paypal,paid,251.22,2025-12-16 16:42:55
PAY00000277,ORD0000277,paypal,paid,717.08,2025-11-14 10:35:37
PAY00000278,ORD0000278,bank_transfer,paid,86.69,2025-08-09 18:10:50
PAY00000279,ORD0000279,card,paid,556.13,2025-05-23 10:44:24
PAY00000280,ORD0000280,klarna,paid,514.14,2025-09-27 19:15:45
PAY00000281,ORD0000281,card,paid,143.51,2026-01-31 11:26:07
PAY00000282,ORD0000282,paypal,failed,0.0,2026-03-02 10:22:24
PAY00000283,ORD0000283,card,paid,1381.51,2025-07-19 07:11:49
PAY00000284,ORD0000284,paypal,paid,224.7,2025-10-15 13:08:36
PAY00000285,ORD0000285,bank_transfer,paid,210.41,2026-06-24 10:05:49
PAY00000286,ORD0000286,bank_transfer,paid,527.61,2025-11-21 23:53:52
PAY00000287,ORD0000287,card,paid,1072.02,2025-09-28 10:30:15
PAY00000288,ORD0000288,card,paid,500.57,2025-09-07 19:09:52
PAY00000289,ORD0000289,card,paid,123.74,2025-01-09 11:20:38
PAY00000290,ORD0000290,card,paid,414.16,2025-11-15 10:05:52
PAY00000291,ORD0000291,card,paid,425.34,2026-06-02 22:00:38
PAY00000292,ORD0000292,klarna,paid,1294.89,2025-05-31 23:20:34
PAY00000293,ORD0000293,card,paid,346.99,2025-10-02 00:38:42
PAY00000294,ORD0000294,klarna,paid,748.47,2025-03-17 22:59:14
PAY00000295,ORD0000295,card,paid,228.6,2025-04-26 22:11:47
PAY00000296,ORD0000296,klarna,paid,311.82,2026-02-17 16:00:25
PAY00000297,ORD0000297,klarna,refunded,1434.94,2025-12-13 19:04:32
PAY00000298,ORD0000298,card,paid,318.59,2025-12-16 17:41:47
PAY00000299,ORD0000299,card,refunded,348.77,2026-06-26 22:37:30
PAY00000300,ORD0000300,paypal,paid,87.82,2025-11-21 09:37:59
PAY00000301,ORD0000301,klarna,paid,504.02,2025-07-02 21:04:54
PAY00000302,ORD0000302,klarna,paid,640.63,2025-04-27 22:04:40
PAY00000303,ORD0000303,card,paid,65.93,2026-04-08 21:34:40
PAY00000304,ORD0000304,card,paid,472.87,2025-02-07 00:55:44
PAY00000305,ORD0000305,card,paid,563.9,2025-12-15 21:02:52
PAY00000306,ORD0000306,paypal,paid,240.97,2025-04-27 07:49:28
PAY00000307,ORD0000307,card,paid,800.49,2025-08-17 23:03:00
PAY00000308,ORD0000308,card,paid,264.54,2025-12-02 16:22:12
PAY00000309,ORD0000309,card,paid,146.26,2025-10-20 21:09:57
PAY00000310,ORD0000310,paypal,paid,1137.02,2026-01-26 19:10:42
PAY00000311,ORD0000311,klarna,failed,0.0,2025-11-25 21:35:50
PAY00000312,ORD0000312,bank_transfer,paid,194.34,2025-11-04 19:49:24
PAY00000313,ORD0000313,card,paid,286.72,2025-05-15 11:33:46
PAY00000314,ORD0000314,card,paid,137.38,2025-08-04 18:44:54
PAY00000315,ORD0000315,card,paid,698.52,2025-04-10 17:36:59
PAY00000316,ORD0000316,card,paid,1686.11,2026-02-25 09:23:27
PAY00000317,ORD0000317,paypal,paid,574.37,2026-04-26 22:49:24
PAY00000318,ORD0000318,card,refunded,561.55,2025-07-01 10:18:29
PAY00000319,ORD0000319,paypal,refunded,128.83,2025-01-19 09:56:32
PAY00000320,ORD0000320,klarna,paid,556.63,2025-09-26 17:10:28
PAY00000321,ORD0000321,card,paid,313.36,2025-04-22 19:42:47
PAY00000322,ORD0000322,card,refunded,207.8,2025-05-04 21:19:07
PAY00000323,ORD0000323,klarna,paid,188.35,2025-09-09 21:33:18
PAY00000324,ORD0000324,paypal,paid,90.59,2025-04-25 21:38:30
PAY00000325,ORD0000325,card,paid,313.24,2025-11-03 14:11:09
PAY00000326,ORD0000326,card,paid,340.87,2025-07-04 21:44:03
PAY00000327,ORD0000327,card,paid,47.48,2025-08-29 11:41:11
PAY00000328,ORD0000328,card,paid,880.7,2025-05-06 20:22:41
PAY00000329,ORD0000329,klarna,paid,109.29,2025-06-16 12:10:39
PAY00000330,ORD0000330,paypal,paid,1036.34,2026-05-02 19:46:40
PAY00000331,ORD0000331,paypal,paid,435.02,2025-10-08 11:41:28
PAY00000332,ORD0000332,card,paid,95.05,2026-06-01 15:49:54
PAY00000333,ORD0000333,paypal,paid,315.58,2026-06-07 18:19:50
PAY00000334,ORD0000334,paypal,paid,704.3,2025-12-16 16:55:08
PAY00000335,ORD0000335,card,paid,73.16,2026-06-05 18:32:40
PAY00000336,ORD0000336,card,paid,1267.49,2025-10-07 19:09:57
PAY00000337,ORD0000337,card,paid,55.97,2026-02-21 11:36:15
PAY00000338,ORD0000338,paypal,paid,637.43,2026-03-25 11:56:49
PAY00000339,ORD0000339,paypal,paid,686.95,2026-05-18 20:07:09
PAY00000340,ORD0000340,card,paid,198.87,2025-10-02 16:15:56
PAY00000341,ORD0000341,card,paid,237.79,2025-04-28 08:56:09
PAY00000342,ORD0000342,klarna,failed,0.0,2025-08-11 01:12:23
PAY00000343,ORD0000343,paypal,refunded,911.31,2026-03-27 22:56:44
PAY00000344,ORD0000344,card,paid,100.92,2026-04-14 16:53:00
PAY00000345,ORD0000345,klarna,paid,246.99,2026-04-30 16:31:09
PAY00000346,ORD0000346,card,paid,203.36,2025-05-15 18:11:44
PAY00000347,ORD0000347,card,paid,321.89,2025-03-28 14:08:11
PAY00000348,ORD0000348,paypal,paid,811.24,2025-11-08 11:28:41
PAY00000349,ORD0000349,bank_transfer,refunded,913.31,2025-05-24 21:18:47
PAY00000350,ORD0000350,card,paid,203.86,2025-03-09 15:45:06
PAY00000351,ORD0000351,klarna,paid,454.14,2025-12-29 15:02:12
PAY00000352,ORD0000352,card,paid,384.7,2025-08-22 20:37:12
PAY00000353,ORD0000353,card,paid,124.16,2025-05-21 00:01:55
PAY00000354,ORD0000354,card,refunded,362.45,2026-05-14 13:40:33
PAY00000355,ORD0000355,klarna,paid,42.29,2026-05-17 15:57:39
PAY00000356,ORD0000356,card,paid,38.63,2025-12-20 23:01:29
PAY00000357,ORD0000357,klarna,paid,178.98,2025-11-09 00:13:59
PAY00000358,ORD0000358,bank_transfer,paid,236.72,2025-11-24 18:39:05
PAY00000359,ORD0000359,card,paid,665.07,2025-11-25 22:34:04
PAY00000360,ORD0000360,card,paid,187.13,2026-06-14 13:27:21
PAY00000361,ORD0000361,klarna,paid,1313.06,2026-01-31 21:19:59
PAY00000362,ORD0000362,card,paid,278.36,2025-08-01 13:00:17
PAY00000363,ORD0000363,bank_transfer,paid,630.11,2025-12-28 20:11:19
PAY00000364,ORD0000364,card,paid,555.96,2026-04-19 10:53:42
PAY00000365,ORD0000365,card,paid,347.02,2025-11-29 23:34:37
PAY00000366,ORD0000366,card,failed,0.0,2026-02-17 19:16:19
PAY00000367,ORD0000367,card,paid,1015.26,2025-11-28 12:37:38
PAY00000368,ORD0000368,card,paid,549.92,2026-06-28 10:22:01
PAY00000369,ORD0000369,paypal,paid,259.92,2026-05-01 19:45:12
PAY00000370,ORD0000370,paypal,failed,0.0,2026-04-02 17:15:53
PAY00000371,ORD0000371,bank_transfer,paid,349.1,2025-12-24 09:51:59
PAY00000372,ORD0000372,card,paid,243.33,2025-12-07 17:10:35
PAY00000373,ORD0000373,card,paid,631.17,2026-01-21 21:57:47
