session_id,customer_id,started_at,source_channel,device_type,landing_page,pageviews,duration_seconds
SESS00000098,CUST00515,2025-09-06 07:36:22,paid_social,mobile,/product,1,3241
SESS00000099,CUST00545,2025-03-12 02:15:09,paid_search,mobile,/search,5,3058
SESS00000100,CUST00215,2025-07-27 03:26:34,paid_search,mobile,/search,3,860
SESS00000101,CUST00405,2025-05-29 19:23:57,paid_search,mobile,/home,3,660
SESS00000102,CUST00178,2025-07-27 06:04:14,organic,desktop,/sale,1,964
SESS00000103,CUST00238,2025-09-11 02:37:04,affiliate,desktop,/category,1,3276
SESS00000104,CUST00441,2025-05-02 03:45:30,direct,mobile,/blog,1,3287
SESS00000105,CUST00244,2026-06-30 10:03:06,organic,mobile,/product,4,319
SESS00000106,CUST00559,2025-06-07 15:24:43,paid_search,desktop,/home,3,973
SESS00000107,CUST00478,2026-04-27 23:27:00,email,mobile,/search,2,410
SESS00000108,CUST00239,2025-10-06 20:17:38,organic,mobile,/product,7,67
SESS00000109,CUST00478,2026-01-24 19:15:11,affiliate,desktop,/category,3,807
SESS00000110,CUST00111,2026-03-03 22:01:21,direct,mobile,/home,5,478
SESS00000111,CUST00268,2025-07-23 01:58:29,paid_social,mobile,/product,1,2948
SESS00000112,CUST00083,2025-12-07 20:36:53,paid_search,mobile,/product,6,192
SESS00000113,CUST00198,2025-09-01 19:25:57,email,desktop,/category,1,475
SESS00000114,CUST00207,2025-12-07 15:40:07,organic,mobile,/category,11,2314
SESS00000115,CUST00222,2025-05-23 08:34:16,organic,desktop,/sale,3,2647
SESS00000116,CUST00216,2025-02-10 00:34:24,organic,desktop,/search,3,929
SESS00000117,CUST00510,2025-06-23 08:08:41,paid_social,mobile,/blog,5,2163
SESS00000118,CUST00513,2025-04-15 21:24:52,paid_search,tablet,/search,4,225
SESS00000119,CUST00268,2025-10-02 12:36:08,organic,mobile,/category,6,2621
SESS00000120,CUST00593,2025-04-17 11:44:24,organic,desktop,/search,5,1988
SESS00000121,CUST00181,2026-04-15 21:31:34,email,desktop,/category,4,2938
SESS00000122,CUST00016,2025-06-05 12:35:35,paid_social,desktop,/search,3,1040
SESS00000123,CUST00199,2025-01-23 14:44:06,organic,mobile,/category,3,3352
SESS00000124,CUST00109,2026-01-07 08:57:53,direct,mobile,/category,2,1497
SESS00000125,CUST00074,2025-08-19 00:13:53,direct,desktop,/search,5,1911
SESS00000126,CUST00015,2025-04-22 11:42:07,organic,mobile,/product,5,357
SESS00000127,CUST00483,2025-07-21 15:51:57,paid_social,desktop,/blog,1,2900
SESS00000128,CUST00033,2025-05-14 16:20:20,email,mobile,/home,2,1402
SESS00000129,CUST00087,2025-10-29 01:42:42,paid_social,desktop,/category,7,2025
SESS00000130,CUST00013,2026-04-22 16:42:12,paid_social,desktop,/blog,4,2040
SESS00000131,CUST00022,2025-01-20 14:14:32,paid_social,mobile,/home,15,2737
SESS00000132,CUST00251,2025-09-02 21:14:30,email,desktop,/blog,9,517
SESS00000133,CUST00214,2025-02-10 07:10:10,email,desktop,/home,5,1400
SESS00000134,CUST00071,2025-11-01 17:57:38,organic,mobile,/product,1,3378
SESS00000135,CUST00161,2026-06-06 00:42:42,direct,mobile,/home,2,2258
SESS00000136,CUST00306,2026-01-30 22:09:28,direct,mobile,/sale,1,1970
SESS00000137,CUST00078,2025-07-06 03:11:48,paid_search,desktop,/search,1,2025
SESS00000138,CUST00580,2025-05-25 21:42:50,email,mobile,/category,14,1911
SESS00000139,CUST00342,2026-01-21 00:10:28,paid_search,mobile,/home,6,2900
SESS00000140,CUST00518,2026-02-23 01:35:18,paid_search,mobile,/blog,8,3500
SESS00000141,CUST00482,2025-04-23 16:25:17,direct,desktop,/blog,2,3503
SESS00000142,CUST00292,2025-03-07 22:04:12,email,mobile,/blog,1,990
SESS00000143,CUST00080,2025-03-31 02:03:28,paid_social,desktop,/product,1,803
SESS00000144,CUST00309,2026-01-19 03:40:56,direct,desktop,/home,4,1017
SESS00000145,CUST00436,2025-10-05 02:45:12,paid_search,desktop,/product,3,2504
SESS00000146,CUST00519,2025-12-26 21:33:09,direct,tablet,/search,8,537
SESS00000147,CUST00505,2025-02-27 06:52:14,organic,mobile,/category,3,731
SESS00000148,CUST00130,2025-05-14 07:39:03,organic,mobile,/sale,4,2724
SESS00000149,CUST00166,2026-04-04 09:43:47,direct,mobile,/blog,4,1275
SESS00000150,CUST00140,2025-06-19 06:23:47,paid_social,desktop,/blog,18,447
SESS00000151,CUST00129,2026-02-09 10:47:29,paid_search,mobile,/home,1,1071
SESS00000152,CUST00513,2026-03-04 22:28:41,paid_search,mobile,/category,2,1888
SESS00000153,CUST00398,2025-10-12 00:28:47,paid_social,desktop,/category,2,655
SESS00000154,CUST00441,2025-09-15 11:26:50,paid_social,mobile,/search,6,3434
SESS00000155,CUST00306,2025-01-02 08:39:36,organic,desktop,/category,3,2288
SESS00000156,CUST00028,2026-04-19 22:51:01,paid_social,mobile,/product,7,1077
SESS00000157,CUST00049,2026-01-08 15:14:26,paid_search,mobile,/search,1,812
SESS00000158,CUST00189,2025-11-10 13:24:28,organic,desktop,/home,2,470
SESS00000159,CUST00338,2026-03-14 05:51:32,paid_social,mobile,/search,2,2876
SESS00000160,CUST00457,2026-05-23 17:55:45,email,desktop,/product,1,3338
SESS00000161,CUST00423,2025-05-03 15:07:26,paid_search,mobile,/home,2,3155
SESS00000162,CUST00166,2025-07-19 21:52:50,affiliate,mobile,/product,6,2870
SESS00000163,CUST00560,2025-07-25 17:23:42,organic,tablet,/blog,9,3424
SESS00000164,CUST00073,2025-08-26 08:34:10,direct,mobile,/home,2,2038
SESS00000165,CUST00074,2025-02-28 17:50:48,paid_search,desktop,/category,9,549
SESS00000166,CUST00004,2025-12-16 22:56:44,paid_search,desktop,/blog,2,2449
SESS00000167,CUST00080,2026-01-17 21:12:50,paid_search,mobile,/product,5,1044
SESS00000168,CUST00597,2025-07-19 09:04:31,email,mobile,/product,1,3099
SESS00000169,CUST00542,2025-07-04 00:05:59,paid_social,mobile,/category,2,3310
SESS00000170,CUST00147,2025-03-10 20:52:13,paid_search,desktop,/category,6,2725
SESS00000171,CUST00478,2025-03-11 22:35:01,organic,tablet,/sale,5,563
SESS00000172,CUST00409,2026-06-06 04:38:10,paid_social,tablet,/category,5,938
SESS00000173,CUST00084,2025-04-08 05:27:41,organic,desktop,/sale,2,1503
SESS00000174,CUST00439,2026-05-23 20:16:30,organic,desktop,/category,7,616
SESS00000175,CUST00572,2025-08-30 08:11:24,email,mobile,/sale,1,1179
SESS00000176,CUST00457,2025-03-25 00:30:23,paid_search,mobile,/category,7,744
SESS00000177,CUST00204,2026-02-09 21:00:55,email,desktop,/category,12,801
SESS00000178,CUST00225,2025-04-04 20:03:36,email,mobile,/sale,8,2498
SESS00000179,CUST00168,2026-02-05 18:00:26,organic,mobile,/search,5,960
SESS00000180,CUST00122,2025-01-06 07:25:14,email,mobile,/sale,2,3201
SESS00000181,CUST00284,2026-02-27 13:17:49,organic,mobile,/search,21,2448
SESS00000182,CUST00068,2026-03-28 04:38:46,direct,mobile,/sale,9,3363
SESS00000183,CUST00246,2025-12-13 23:14:21,direct,mobile,/home,1,1994
SESS00000184,CUST00384,2025-02-18 00:34:51,email,desktop,/sale,13,1235
SESS00000185,CUST00316,2026-06-17 11:05:02,paid_search,mobile,/search,3,2290
SESS00000186,CUST00563,2025-12-25 03:10:41,affiliate,mobile,/home,4,2485
SESS00000187,CUST00092,2025-02-14 20:38:21,paid_search,mobile,/blog,4,2288
SESS00000188,CUST00446,2026-03-21 01:38:21,email,mobile,/blog,1,1548
SESS00000189,CUST00296,2025-08-07 19:43:23,email,mobile,/category,3,1644
SESS00000190,CUST00178,2026-05-08 17:03:46,paid_search,mobile,/home,5,1325
SESS00000191,CUST00458,2025-07-16 11:40:59,paid_search,mobile,/search,8,120
SESS00000192,CUST00250,2025-11-09 06:33:47,paid_search,desktop,/search,23,869
SESS00000193,CUST00222,2026-06-23 14:06:10,organic,mobile,/search,7,1378
SESS00000194,CUST00365,2025-10-21 09:46:15,affiliate,mobile,/category,6,309
SESS00000195,CUST00286,2026-05-15 01:08:42,direct,mobile,/category,6,3472
SESS00000196,CUST00083,2026-06-09 23:02:32,direct,mobile,/product,4,2815
SESS00000197,CUST00552,2025-08-31 22:43:40,paid_search,mobile,/category,6,384
SESS00000198,CUST00251,2025-03-23 18:59:04,email,tablet,/sale,1,3403
SESS00000199,CUST00192,2026-01-07 15:35:39,email,desktop,/blog,3,3089
SESS00000200,CUST00491,2025-10-17 03:44:54,paid_social,mobile,/sale,11,1396
SESS00000201,CUST00258,2025-12-26 02:31:44,organic,mobile,/home,1,2570
SESS00000202,CUST00161,2026-06-09 20:20:38,organic,tablet,/search,1,349
SESS00000203,CUST00235,2025-06-16 00:29:54,organic,mobile,/blog,2,2076
SESS00000204,CUST00390,2025-12-16 14:45:05,email,desktop,/category,33,2216
SESS00000205,CUST00215,2026-05-23 04:41:30,paid_social,mobile,/product,4,2903
SESS00000206,CUST00252,2025-03-27 21:28:14,paid_social,mobile,/sale,1,3393
SESS00000207,CUST00008,2026-05-22 10:27:06,paid_search,desktop,/search,4,1258
SESS00000208,CUST00322,2026-06-07 11:42:08,paid_social,mobile,/product,1,475
SESS00000209,CUST00211,2025-10-11 08:01:03,direct,desktop,/search,1,1798
SESS00000210,CUST00286,2026-05-25 16:05:38,email,mobile,/sale,7,96
SESS00000211,CUST00059,2026-02-11 20:22:26,email,mobile,/blog,1,1469
SESS00000212,CUST00484,2025-12-22 19:40:26,paid_search,mobile,/product,9,3128
SESS00000213,CUST00017,2026-04-16 08:43:22,paid_social,mobile,/search,3,163
SESS00000214,CUST00458,2025-08-12 07:32:23,email,mobile,/category,1,3160
SESS00000215,CUST00203,2026-01-07 13:53:59,organic,mobile,/blog,4,1410
SESS00000216,CUST00121,2025-08-07 06:59:51,paid_search,desktop,/blog,4,142
SESS00000217,CUST00230,2025-03-17 13:34:43,affiliate,mobile,/sale,1,3584
SESS00000218,CUST00373,2025-04-04 04:49:27,paid_search,mobile,/search,1,241
SESS00000219,CUST00347,2025-03-11 21:04:37,organic,mobile,/product,2,1005
SESS00000220,CUST00257,2025-08-25 12:20:39,paid_search,desktop,/sale,15,370
SESS00000221,CUST00521,2025-07-18 05:54:35,affiliate,mobile,/home,11,2717
SESS00000222,,2025-10-15 18:09:19,paid_social,desktop,/product,4,2269
SESS00000223,CUST00505,2025-12-29 18:37:35,affiliate,tablet,/category,2,2568
SESS00000224,CUST00062,2026-05-31 05:22:19,email,mobile,/blog,2,1079
SESS00000225,CUST00496,2025-04-03 14:54:45,affiliate,mobile,/search,9,3432
SESS00000226,CUST00388,2025-11-21 15:38:16,email,desktop,/home,1,576
SESS00000227,CUST00380,2025-01-11 20:18:16,paid_social,mobile,/home,7,1261
SESS00000228,CUST00443,2026-01-04 21:22:49,paid_search,mobile,/home,4,295
SESS00000229,CUST00097,2026-05-19 04:14:47,paid_social,desktop,/sale,1,516
SESS00000230,CUST00128,2026-06-30 11:44:08,email,mobile,/sale,3,2006
SESS00000231,CUST00173,2025-02-18 20:46:56,organic,mobile,/product,12,3025
SESS00000232,CUST00133,2025-02-28 04:14:55,paid_social,mobile,/home,3,1107
SESS00000233,CUST00392,2025-05-26 03:35:04,email,mobile,/product,7,2469
SESS00000234,CUST00488,2025-01-29 13:20:43,paid_social,mobile,/category,4,877
SESS00000235,CUST00317,2026-03-06 21:51:39,paid_search,desktop,/blog,11,1296
SESS00000236,CUST00486,2026-03-14 12:01:33,organic,mobile,/sale,1,2565
SESS00000237,CUST00309,2025-06-02 04:08:44,email,desktop,/home,1,2909
SESS00000238,CUST00341,2025-11-22 22:36:03,organic,tablet,/sale,1,680
SESS00000239,CUST00004,2025-12-29 22:38:07,affiliate,desktop,/sale,3,3395
SESS00000240,CUST00258,2025-02-22 21:39:46,organic,mobile,/product,12,2528
SESS00000241,CUST00244,2025-08-29 11:36:35,direct,desktop,/category,6,2531
SESS00000242,CUST00169,2025-06-16 09:50:36,affiliate,mobile,/blog,10,219
SESS00000243,CUST00386,2025-08-03 09:29:02,organic,desktop,/category,1,1223
SESS00000244,CUST00521,2025-05-22 17:11:51,organic,mobile,/product,3,3591
SESS00000245,CUST00162,2026-02-17 05:39:50,organic,mobile,/product,4,2402
SESS00000246,CUST00056,2025-11-30 17:16:42,paid_social,mobile,/home,7,3352
SESS00000247,CUST00415,2025-05-18 02:30:58,paid_search,desktop,/home,1,1731
SESS00000248,CUST00218,2025-11-03 05:57:32,organic,mobile,/sale,8,3025
SESS00000249,CUST00532,2026-01-31 05:44:56,paid_search,desktop,/sale,3,970
SESS00000250,CUST00353,2026-04-19 06:01:59,paid_social,desktop,/product,3,2576
SESS00000251,CUST00282,2025-04-25 03:14:27,direct,mobile,/sale,4,3395
SESS00000252,CUST00264,2025-01-30 09:27:18,paid_search,mobile,/blog,1,3350
SESS00000253,CUST00415,2025-04-01 09:31:40,paid_social,mobile,/blog,2,3483
SESS00000254,CUST00337,2026-01-14 09:50:24,direct,mobile,/product,1,2922
SESS00000255,CUST00405,2025-10-29 00:32:51,paid_search,desktop,/search,4,1774
SESS00000256,CUST00195,2025-04-23 10:59:10,direct,mobile,/category,5,3267
SESS00000257,CUST00106,2025-12-27 22:42:58,paid_search,mobile,/product,1,1196
SESS00000258,CUST00551,2025-01-30 23:31:28,email,desktop,/blog,1,3503
SESS00000259,CUST00513,2025-03-16 07:18:52,paid_search,tablet,/sale,7,1399
SESS00000260,CUST00583,2025-07-01 15:28:45,paid_search,mobile,/search,4,555
SESS00000261,CUST00302,2026-06-21 14:58:24,paid_search,mobile,/category,6,1563
SESS00000262,CUST00400,2026-06-06 23:01:40,paid_search,mobile,/category,4,3188
SESS00000263,CUST00316,2025-08-30 04:56:27,paid_social,desktop,/category,3,3326
SESS00000264,CUST00162,2025-05-28 02:06:35,paid_search,mobile,/category,5,2808
SESS00000265,CUST00299,2025-05-26 04:40:24,paid_search,desktop,/product,2,1391
SESS00000266,CUST00543,2025-02-02 13:42:18,paid_social,desktop,/product,2,2007
SESS00000267,CUST00585,2025-12-30 01:03:27,email,mobile,/search,9,3261
SESS00000268,CUST00574,2025-12-11 23:50:28,email,mobile,/blog,1,3329
SESS00000269,CUST00112,2025-04-28 16:18:17,direct,desktop,/category,5,2471
SESS00000270,CUST00334,2026-03-15 23:02:32,direct,mobile,/product,14,461
SESS00000271,CUST00215,2025-05-01 03:25:28,organic,mobile,/category,2,708
SESS00000272,CUST00075,2025-07-21 06:27:20,email,mobile,/search,6,400
SESS00000273,CUST00150,2026-03-09 16:31:03,organic,mobile,/category,3,2830
SESS00000274,CUST00445,2025-07-28 05:43:49,paid_social,mobile,/product,5,1098
SESS00000275,CUST00155,2026-04-05 21:24:23,paid_social,mobile,/blog,1,3103
SESS00000276,CUST00044,2025-12-17 07:23:17,direct,mobile,/category,14,1508
SESS00000277,CUST00181,2026-02-16 22:53:10,direct,desktop,/product,1,2310
SESS00000278,CUST00266,2025-03-26 00:20:46,organic,mobile,/category,5,2181
SESS00000279,CUST00274,2026-01-10 01:49:29,organic,mobile,/blog,2,1105
SESS00000280,CUST00404,2025-05-09 12:11:12,paid_search,mobile,/category,4,500
SESS00000281,CUST00069,2025-01-01 23:03:40,paid_search,desktop,/home,2,2867
SESS00000282,CUST00023,2025-12-14 17:18:47,paid_search,desktop,/search,4,2366
SESS00000283,CUST00317,2025-04-13 11:07:52,paid_social,desktop,/search,4,777
SESS00000284,CUST00160,2025-07-01 18:43:41,paid_search,mobile,/category,4,465
SESS00000285,CUST00264,2026-02-28 20:43:38,organic,mobile,/product,3,568
SESS00000286,CUST00579,2025-02-15 08:33:54,paid_search,tablet,/blog,1,2158
SESS00000287,CUST00416,2025-11-16 01:56:31,paid_social,mobile,/blog,5,3548
SESS00000288,CUST00317,2026-05-13 01:54:04,email,desktop,/home,5,729
SESS00000289,CUST00408,2025-01-10 13:21:21,organic,mobile,/search,4,2204
SESS00000290,CUST00005,2025-10-13 12:36:53,email,desktop,/category,7,2690
SESS00000291,CUST00547,2025-03-18 07:16:04,direct,mobile,/home,2,57
SESS00000292,CUST00541,2026-06-28 06:40:58,organic,tablet,/search,3,3188
SESS00000293,CUST00370,2025-10-29 14:54:47,organic,desktop,/search,3,3118
SESS00000294,CUST00031,2025-12-03 16:31:08,direct,mobile,/blog,1,2138
SESS00000295,CUST00216,2026-06-21 23:39:12,paid_social,mobile,/product,5,1212
SESS00000296,CUST00191,2026-05-05 22:36:39,paid_social,mobile,/product,1,628
SESS00000297,CUST00395,2025-07-23 07:33:53,direct,desktop,/category,1,1703
SESS00000298,CUST00185,2025-06-16 09:33:58,paid_search,mobile,/category,1,2895
SESS00000299,CUST00075,2026-05-06 09:02:25,email,mobile,/product,1,2693
SESS00000300,CUST00001,2025-04-28 03:29:46,paid_search,mobile,/product,7,1989
SESS00000301,CUST00342,2026-05-18 23:22:07,organic,mobile,/home,3,1362
SESS00000302,CUST00155,2026-06-22 21:34:06,organic,desktop,/sale,3,43
SESS00000303,CUST00234,2025-07-12 02:08:11,organic,desktop,/category,7,3078
SESS00000304,CUST00122,2026-05-02 03:52:06,email,tablet,/search,1,12
SESS00000305,CUST00101,2026-04-28 18:05:29,email,mobile,/search,15,108
SESS00000306,CUST00440,2025-08-24 00:08:46,paid_social,mobile,/sale,6,2163
SESS00000307,CUST00494,2026-05-11 12:30:23,direct,desktop,/sale,1,3177
SESS00000308,CUST00239,2025-11-26 11:56:08,email,desktop,/sale,2,2015
SESS00000309,CUST00350,2025-08-07 05:18:12,organic,mobile,/home,2,2303
SESS00000310,CUST00195,2026-01-29 01:56:41,paid_social,desktop,/product,7,3440
SESS00000311,CUST00514,2025-09-15 05:58:40,organic,desktop,/sale,4,1282
SESS00000312,CUST00587,2026-04-03 17:10:06,direct,desktop,/category,1,298
SESS00000313,CUST00122,2025-09-15 12:48:09,direct,desktop,/home,3,1846
SESS00000314,CUST00203,2025-11-08 00:25:47,direct,desktop,/home,14,1660
SESS00000315,CUST00467,2026-05-21 15:57:01,paid_social,mobile,/home,1,3272
SESS00000316,CUST00371,2025-09-21 02:32:40,email,mobile,/sale,12,2400
SESS00000317,CUST00389,2026-05-07 23:14:08,paid_social,mobile,/sale,5,3590
SESS00000318,CUST00150,2025-06-20 18:50:08,email,desktop,/home,5,992
SESS00000319,CUST00002,2026-02-07 20:54:44,organic,mobile,/product,4,1198
SESS00000320,CUST00591,2025-08-10 00:31:14,organic,mobile,/blog,1,557
SESS00000321,CUST00475,2025-01-31 08:33:34,organic,mobile,/sale,2,2705
SESS00000322,CUST00437,2025-01-23 05:17:45,organic,mobile,/sale,2,133
SESS00000323,CUST00261,2025-01-27 05:13:42,paid_social,desktop,/search,2,32
SESS00000324,CUST00225,2026-02-28 18:24:00,direct,mobile,/product,4,2815
SESS00000325,CUST00371,2025-06-09 05:04:19,direct,mobile,/blog,1,3523
SESS00000326,CUST00126,2026-01-11 10:38:00,direct,tablet,/home,6,185
SESS00000327,CUST00165,2026-05-26 08:05:31,paid_social,mobile,/home,2,952
SESS00000328,CUST00219,2025-12-14 22:51:47,email,mobile,/home,2,591
SESS00000329,CUST00415,2025-10-25 15:22:40,paid_social,mobile,/blog,1,2050
SESS00000330,CUST00113,2026-03-04 13:45:28,paid_search,desktop,/search,2,154
SESS00000331,CUST00217,2025-04-11 09:50:44,direct,mobile,/sale,7,2944
SESS00000332,CUST00520,2025-11-30 14:37:36,organic,mobile,/product,3,1184
SESS00000333,CUST00294,2025-12-19 14:45:39,direct,desktop,/home,1,3157
